ą,ɔ̃ w̃
donkiszot,d ɔ̃ ŋ ʲ ˈ c i ʂ ɔ t
donosiciel,d ɔ̃ n ɔ ˈ ɕ i t͡ɕ ɛ l
donoszenie,d ɔ̃ n ɔ ˈ ʂ ɛ̃ ɲ ɛ
donośny,d ɔ̃ ˈ n ɔ ɕ n ɨ
donżon,ˈ d ɔ̃ ɲ ʐ ɔ̃ n
dopalacz,d ɔ ˈ p a l a t͡ʂ
dopalenie,d ɔ p a ˈ l ɛ̃ ɲ ɛ
dopalić,d ɔ ˈ p a l ʲ i t͡ɕ
dopierdalanie,d ɔ p ʲ j ɛ r d a ˈ l ã ɲ ɛ
dopierdalać,d ɔ p ʲ j ɛ r ˈ d a l a t͡ɕ
dopiero,d ɔ ˈ p ʲ j ɛ r ɔ
dopilnowanie,d ɔ p ʲ i l n ɔ ˈ v ã ɲ ɛ
dopilnować,d ɔ p ʲ i l ˈ n ɔ v a t͡ɕ
doping,ˈ d ɔ p ʲ i ŋ k
dopisać,d ɔ ˈ p ʲ i s a t͡ɕ
dopić,ˈ d ɔ p ʲ i t͡ɕ
dopięcie,d ɔ ˈ p ʲ j ɛ̃ ɲ t͡ɕ ɛ
dopomożenie,d ɔ p ɔ̃ m ɔ ˈ ʐ ɛ̃ ɲ ɛ
dopowiadanie,d ɔ p ɔ v ʲ j a ˈ d ã ɲ ɛ
dopowiadać,d ɔ p ɔ ˈ v ʲ j a d a t͡ɕ
doprawienie,d ɔ p r a ˈ v ʲ j ɛ̃ ɲ ɛ
doprawić,d ɔ ˈ p r a v ʲ i t͡ɕ
doprowadzać,d ɔ p r ɔ ˈ v a d͡z a t͡ɕ
doprowadzić,d ɔ p r ɔ ˈ v a d͡ʑ i t͡ɕ
dopuszczalny,d ɔ p u ʂ ˈ t͡ʂ a l n ɨ
dopuścić,d ɔ ˈ p u ɕ t͡ɕ i t͡ɕ
dopóki,d ɔ ˈ p u c i
dopłacić,d ɔ ˈ p w a t͡ɕ i t͡ɕ
dopływ,ˈ d ɔ p w ɨ f
dorada,d ɔ ˈ r a d a
doraźnie,d ɔ ˈ r a ʑ ɲ ɛ
dordzałość,d ɔ ˈ r d͡z a w ɔ ɕ t͡ɕ
dordzewienie,d ɔ r d͡z ɛ ˈ v ʲ j ɛ̃ ɲ ɛ
dordzewieć,d ɔ ˈ r d͡z ɛ v ʲ j ɛ t͡ɕ
dorian,ˈ d ɔ r ʲ j ã n
dorobić,d ɔ ˈ r ɔ b ʲ i t͡ɕ
dorosły,d ɔ ˈ r ɔ s w ɨ
dorota,d ɔ ˈ r ɔ t a
dorożka,d ɔ ˈ r ɔ ʂ k a
dorożkarz,d ɔ ˈ r ɔ ʂ k a ʂ
dorsz,d ɔ r ʂ
dorywczo,d ɔ ˈ r ɨ f t͡ʂ ɔ
dorzecze,d ɔ ˈ ʐ ɛ t͡ʂ ɛ
doręczyciel,d ɔ r ɛ̃ ɲ ˈ t͡ʂ ɨ t͡ɕ ɛ l
doręczycielka,d ɔ r ɛ̃ ɲ t͡ʂ ɨ ˈ t͡ɕ ɛ l k a
dorżnąć,ˈ d ɔ r ʐ n ɔ̃ ɲ t͡ɕ
dosadnie,d ɔ ˈ s a d ʲ ɲ ɛ
dosadzić,d ɔ ˈ s a d͡ʑ i t͡ɕ
dosiadać,d ɔ ˈ ɕ a d a t͡ɕ
doskonale,d ɔ s k ɔ̃ ˈ n a l ɛ
doskonalenie,d ɔ s k ɔ̃ n a ˈ l ɛ̃ ɲ ɛ
doskonałość,d ɔ s k ɔ̃ ˈ n a w ɔ ɕ t͡ɕ
doskonały,d ɔ s k ɔ̃ ˈ n a w ɨ
doskwierać,d ɔ ˈ s k f ʲ j ɛ r a t͡ɕ
dosmaczać,d ɔ ˈ s m a t͡ʂ a t͡ɕ
dosmaczyć,d ɔ ˈ s m a t͡ʂ ɨ t͡ɕ
dostanie,d ɔ ˈ s t ã ɲ ɛ
dostarczanie,d ɔ s t a r ˈ t͡ʂ ã ɲ ɛ
dostarczać,d ɔ ˈ s t a r t͡ʂ a t͡ɕ
dostarczenie,d ɔ s t a r ˈ t͡ʂ ɛ̃ ɲ ɛ
dostarczyć,d ɔ ˈ s t a r t͡ʂ ɨ t͡ɕ
dostatczanie,d ɔ s t a ṭ ˈ t͡ʂ ã ɲ ɛ
dostatecznie,d ɔ s t a ˈ t ɛ t͡ʂ ʲ ɲ ɛ
dostatek,d ɔ ˈ s t a t ɛ k
dostawa,d ɔ ˈ s t a v a
dostawanie,d ɔ s t a ˈ v ã ɲ ɛ
dostawać,d ɔ ˈ s t a v a t͡ɕ
dostawca,d ɔ ˈ s t a f t͡s a
dostać,ˈ d ɔ s t a t͡ɕ
dostojnik,d ɔ ˈ s t ɔ j ɲ i k
dostrzec,ˈ d ɔ s ṭ ʂ ɛ t͡s
dostąpić,d ɔ ˈ s t ɔ̃ m p ʲ i t͡ɕ
dostęp,ˈ d ɔ s t ɛ̃ m p
dostępny,d ɔ ˈ s t ɛ̃ m p n ɨ
dostępowanie,d ɔ s t ɛ̃ m p ɔ ˈ v ã ɲ ɛ
dostępować,d ɔ s t ɛ̃ m ˈ p ɔ v a t͡ɕ
dosyć,ˈ d ɔ s ɨ t͡ɕ
doszczętnie,d ɔ ˈ ʂ t͡ʂ ɛ̃ n t ʲ ɲ ɛ
dosłownie,d ɔ ˈ s w ɔ v ʲ ɲ ɛ
dosłowny,d ɔ ˈ s w ɔ v n ɨ
dotacja,d ɔ ˈ t a t͡s ʲ j a
dotkliwie,d ɔ ˈ t k l ʲ i v ʲ j ɛ
dotkliwy,d ɔ ˈ t k l ʲ i v ɨ
dotknięcie,d ɔ ˈ t ʲ c ɲ ɛ̃ ɲ t͡ɕ ɛ
dotknąć,ˈ d ɔ t k n ɔ̃ ɲ t͡ɕ
dotleniać,d ɔ ˈ t l ɛ̃ ɲ æ t͡ɕ
dotrzeć,ˈ d ɔ ṭ ʂ ɛ t͡ɕ
dotychczas,d ɔ ˈ t ɨ x t͡ʂ a s
dotychmiast,d ɔ ˈ t ɨ x m ʲ j a s t
dotyczenie,d ɔ t ɨ ˈ t͡ʂ ɛ̃ ɲ ɛ
dotyczyć,d ɔ ˈ t ɨ t͡ʂ ɨ t͡ɕ
dotyk,ˈ d ɔ t ɨ k
dotykanie,d ɔ t ɨ ˈ k ã ɲ ɛ
dotykać,d ɔ ˈ t ɨ k a t͡ɕ
dotykowy,d ɔ t ɨ ˈ k ɔ v ɨ
dotąd,ˈ d ɔ t ɔ̃ n t
doustny,d ɔ ˈ s u p w s u p u s t n ɨ
dowcip,ˈ d ɔ f ʲ t͡ɕ i p
dowietrzny,d ɔ ˈ v ʲ j ɛ ṭ ʂ n ɨ
dowodzenie,d ɔ v ɔ ˈ d͡z ɛ̃ ɲ ɛ
dowodzić,d ɔ ˈ v ɔ d͡ʑ i t͡ɕ
dowolnie,d ɔ ˈ v ɔ l ʲ ɲ ɛ
dowolny,d ɔ ˈ v ɔ l n ɨ
dowód,ˈ d ɔ v u t
dowódca,d ɔ ˈ v u t t͡s a
dozgonny,d ɔ ˈ z ɡ ɔ̃ n ɨ
doznawanie,d ɔ z n a ˈ v ã ɲ ɛ
doznawać,d ɔ ˈ z n a v a t͡ɕ
doznać,ˈ d ɔ z n a t͡ɕ
dozorca,d ɔ ˈ z ɔ r t͡s a
dozowacz,d ɔ ˈ z ɔ v a t͡ʂ
dozować,d ɔ ˈ z ɔ v a t͡ɕ
dozwolony,d ɔ z v ɔ ˈ l ɔ̃ n ɨ
dozymetr,d ɔ ˈ z ɨ m ɛ t r
dożynkowy,d ɔ ʐ ɨ ŋ ˈ k ɔ v ɨ
dożywocie,d ɔ ʐ ɨ ˈ v ɔ t͡ɕ ɛ
dożywotni,d ɔ ʐ ɨ ˈ v ɔ t ʲ ɲ i
drąg,d r ɔ̃ ŋ k
drążek,ˈ d r ɔ̃ w̃ ʐ ɛ k
drążyć,ˈ d r ɔ̃ w̃ ʐ ɨ t͡ɕ
dręczenie,d r ɛ̃ ɲ ˈ t͡ʂ ɛ̃ ɲ ɛ
dręczyciel,d r ɛ̃ ɲ ˈ t͡ʂ ɨ t͡ɕ ɛ l
dręczycielka,d r ɛ̃ ɲ t͡ʂ ɨ ˈ t͡ɕ ɛ l k a
dręczyć,ˈ d r ɛ̃ ɲ t͡ʂ ɨ t͡ɕ
dr,ˈ d ɔ k t ɔ r
drab,d r a p
drabant,ˈ d r a b ã n t
drabina,d r a ˈ b ʲ i n a
drabinka,d r a ˈ b ʲ i n k a
drachma,ˈ d r a x m a
drag,d r a k
dragoman,d r a ˈ ɡ ɔ̃ m ã n
dragon,ˈ d r a ɡ ɔ̃ n
drailing,d r a ˈ s u p j s u p i l ʲ i ŋ k
draka,ˈ d r a k a
dram,d r ã m
dramat,ˈ d r ã m a t
dramaturg,d r ã ˈ m a t u r k
drapanie,d r a ˈ p ã ɲ ɛ
drapać,ˈ d r a p a t͡ɕ
drapichrust,d r a ˈ p ʲ i x r u s t
drapież,ˈ d r a p ʲ j ɛ ʂ
drapieżny,d r a ˈ p ʲ j ɛ ʐ n ɨ
drapirzyt,d r a ˈ p ʲ i ʐ ɨ t
dratewka,d r a ˈ t ɛ f k a
dratwa,ˈ d r a t f a
drawit,ˈ d r a v ʲ i t
drawno,ˈ d r a v n ɔ
drawski,ˈ d r a f s ʲ c i
drawszczanin,d r a f ʂ ˈ t͡ʂ ã ɲ i n
drawszczanka,d r a f ʂ ˈ t͡ʂ ã n k a
drań,d r ã ɲ
draństwo,ˈ d r ã j̃ s t f ɔ
draźnię,ˈ d r a ʑ ɲ ɛ
drażetka,d r a ˈ ʐ ɛ t k a
drażliwość,d r a ʐ ˈ l ʲ i v ɔ ɕ t͡ɕ
drażliwy,d r a ʐ ˈ l ʲ i v ɨ
drebel,ˈ d r ɛ b ɛ l
drednot,ˈ d r ɛ d n ɔ t
drehbuch,ˈ d r ɛ j b u x
drelich,ˈ d r ɛ l ʲ i x
dreptać,ˈ d r ɛ p t a t͡ɕ
dres,d r ɛ s
dreszcz,d r ɛ ʂ t͡ʂ
dreszczowiec,d r ɛ ʂ ˈ t͡ʂ ɔ v ʲ j ɛ t͡s
drewienko,d r ɛ ˈ v ʲ j ɛ̃ n k ɔ
drewniak,ˈ d r ɛ v ʲ ɲ a k
drewniany,d r ɛ v ʲ ˈ ɲ ã n ɨ
drewnienie,d r ɛ v ʲ ˈ ɲ ɛ̃ ɲ ɛ
drewnieć,ˈ d r ɛ v ʲ ɲ ɛ t͡ɕ
drewno,ˈ d r ɛ v n ɔ
drewnochron,d r ɛ v ˈ n ɔ x r ɔ̃ n
drewnojad,d r ɛ v ˈ n ɔ j a t
drewnopochodny,d r ɛ v n ɔ p ɔ ˈ x ɔ d n ɨ
drewnopodobny,d r ɛ v n ɔ p ɔ ˈ d ɔ b n ɨ
drewny,ˈ d r ɛ v n ɨ
drewutnia,d r ɛ ˈ v u t ʲ ɲ a
drezdenka,d r ɛ z ˈ d ɛ̃ n k a
drezdenko,d r ɛ z ˈ d ɛ̃ n k ɔ
drezdeńczyk,d r ɛ z ˈ d ɛ̃ j̃ ɲ t͡ʂ ɨ k
drezdeński,d r ɛ z ˈ d ɛ̃ j̃ s ʲ c i
drezno,ˈ d r ɛ z n ɔ
drezyna,d r ɛ ˈ z ɨ n a
drganie,ˈ d r ɡ ã ɲ ɛ
drgać,d r ɡ a t͡ɕ
drgnięcie,ˈ d r ʲ ɡ ʲ ɲ ɛ̃ ɲ t͡ɕ ɛ
drinas,ˈ d r ʲ i n a s
drink,d r ʲ i ŋ k
drobiazg,ˈ d r ɔ b ʲ j a s k
drobin,ˈ d r ɔ b ʲ i n
drobina,d r ɔ ˈ b ʲ i n a
drobiowy,d r ɔ ˈ b ʲ j ɔ v ɨ
drobne,ˈ d r ɔ b n ɛ
drobniuteńki,d r ɔ b ʲ ɲ u ˈ t ɛ̃ ɲ c i
drobniutki,d r ɔ b ʲ ˈ ɲ u t ʲ c i
drobnostka,d r ɔ b ˈ n ɔ s t k a
drobnoustrój,d r ɔ b n ɔ ˈ s u p w s u p u s t r u j
drobnowidz,d r ɔ b ˈ n ɔ v ʲ i t͡s
drobnoziarnisty,d r ɔ b n ɔ ʑ a r ʲ ˈ ɲ i s t ɨ
drobny,ˈ d r ɔ b n ɨ
droga,ˈ d r ɔ ɡ a
drogi,ˈ d r ɔ ɡ ʲ i
drogista,d r ɔ ˈ ɡ ʲ i s t a
drogo,ˈ d r ɔ ɡ ɔ
drogowiec,d r ɔ ˈ ɡ ɔ v ʲ j ɛ t͡s
drogowskaz,d r ɔ ˈ ɡ ɔ f s k a s
drogowy,d r ɔ ˈ ɡ ɔ v ɨ
drohiczyn,d r ɔ ˈ ɣ i t͡ʂ ɨ n
drohobycz,d r ɔ ˈ x ɔ b ɨ t͡ʂ
dromader,d r ɔ̃ ˈ m a d ɛ r
dron,d r ɔ̃ n
drop,d r ɔ p
dropiaty,d r ɔ ˈ p ʲ j a t ɨ
drozd,d r ɔ s t
droździk,ˈ d r ɔ ʑ d͡ʑ i k
drożdże,ˈ d r ɔ ʐ d͡ʐ ɛ
drożdżowiec,d r ɔ ʐ ˈ d͡ʐ ɔ v ʲ j ɛ t͡s
drożdżowy,d r ɔ ʐ ˈ d͡ʐ ɔ v ɨ
drożdżówka,d r ɔ ʐ ˈ d͡ʐ u f k a
druciak,ˈ d r u t͡ɕ a k
druciany,d r u ˈ t͡ɕ ã n ɨ
druciara,d r u ˈ t͡ɕ a r a
drug,d r u k
drugdy,ˈ d r u ɡ d ɨ
drugi,ˈ d r u ɡ ʲ i
drugie,ˈ d r u ɡ ʲ j ɛ
drugoroczniak,d r u ɡ ɔ ˈ r ɔ t͡ʂ ʲ ɲ a k
druh,d r u x
druid,ˈ d r u s u p j s u p i t
druk,d r u k
drukarka,d r u ˈ k a r k a
drukarnia,d r u ˈ k a r ʲ ɲ a
drukarski,d r u ˈ k a r s ʲ c i
drukarz,ˈ d r u k a ʂ
drukowanie,d r u k ɔ ˈ v ã ɲ ɛ
drukować,d r u ˈ k ɔ v a t͡ɕ
drumla,ˈ d r ũ m l a
drut,d r u t
drutowiec,d r u ˈ t ɔ v ʲ j ɛ t͡s
drużyna,d r u ˈ ʐ ɨ n a
drużynowa,d r u ʐ ɨ ˈ n ɔ v a
drużynowy,d r u ʐ ɨ ˈ n ɔ v ɨ
drwal,d r v a l
drwalka,ˈ d r v a l k a
drwalnia,ˈ d r v a l ʲ ɲ a
drwalnik,ˈ d r v a l ʲ ɲ i k
drwina,ˈ d r v ʲ i n a
drwić,d r v ʲ i t͡ɕ
drybling,ˈ d r ɨ b l ʲ i ŋ k
dryblować,d r ɨ ˈ b l ɔ v a t͡ɕ
dryf,d r ɨ f
drygant,ˈ d r ɨ ɡ ã n t
dryjakiew,d r ɨ ˈ j æ c ɛ f
dryl,d r ɨ l
dryling,ˈ d r ɨ l ʲ i ŋ k
drylinger,d r ɨ ˈ l ʲ i ŋ ɡ ɛ r
drylować,d r ɨ ˈ l ɔ v a t͡ɕ
drylownica,d r ɨ l ɔ v ʲ ˈ ɲ i t͡s a
dryndnąć,ˈ d r ɨ n d n ɔ̃ ɲ t͡ɕ
drżenie,ˈ d r ʐ ɛ̃ ɲ ɛ
drżeć,d r ʐ ɛ t͡ɕ
drób,d r u p
dróżka,ˈ d r u ʂ k a
ds,d ɛ ˈ s
duńczyk,ˈ d ũ j̃ ɲ t͡ʂ ɨ k
duński,ˈ d ũ j̃ s ʲ c i
duńskojęzyczny,d ũ j̃ s k ɔ j ɛ̃ w̃ ˈ z ɨ t͡ʂ n ɨ
dubaj,ˈ d u b a j
dubbing,ˈ d a b ʲ i ŋ k
dubbingować,d a b ʲ i ŋ ˈ ɡ ɔ v a t͡ɕ
dubelt,ˈ d u b ɛ l t
dubeltówka,d u b ɛ l ˈ t u f k a
dubiel,ˈ d u b ʲ j ɛ l
dublin,ˈ d u b l ʲ i n
dublinka,d u ˈ b l ʲ i n k a
dublińczyk,d u ˈ b l ʲ i j̃ ɲ t͡ʂ ɨ k
dubliński,d u ˈ b l ʲ i j̃ s ʲ c i
dubrownik,d u ˈ b r ɔ v ʲ ɲ i k
duch,d u x
ducha,ˈ d u x a
duchota,d u ˈ x ɔ t a
duchowny,d u ˈ x ɔ v n ɨ
duchowo,d u ˈ x ɔ v ɔ
duchowość,d u ˈ x ɔ v ɔ ɕ t͡ɕ
duchowy,d u ˈ x ɔ v ɨ
duchy,ˈ d u x ɨ
duda,ˈ d u d a
dudek,ˈ d u d ɛ k
dudka,ˈ d u t k a
dudkować,d u t ˈ k ɔ v a t͡ɕ
dudnić,ˈ d u d ʲ ɲ i t͡ɕ
dudy,ˈ d u d ɨ
dudziarz,ˈ d u d͡ʑ a ʂ
duet,ˈ d u s u p w s u p ɛ t
dufać,ˈ d u f a t͡ɕ
duga,ˈ d u ɡ a
dukat,ˈ d u k a t
dukać,ˈ d u k a t͡ɕ
dukielski,d u ˈ c ɛ l s ʲ c i
dukla,ˈ d u k l a
dulag,ˈ d u l a k
dulcynea,d u l t͡s ɨ ˈ n ɛ a
dulka,ˈ d u l k a
dulszczyzna,d u l ˈ ʂ t͡ʂ ɨ z n a
duma,ˈ d ũ m a
dumać,ˈ d ũ m a t͡ɕ
dumny,ˈ d ũ m n ɨ
dumpingowy,d ã m p ʲ i ŋ ˈ ɡ ɔ v ɨ
dunaj,ˈ d ũ n a j
dunajec,d ũ ˈ n a j ɛ t͡s
dunajski,d ũ ˈ n a j s ʲ c i
dunka,ˈ d ũ ŋ k a
dunkel,ˈ d ũ ŋ k ɛ l
dunkierczyk,d ũ ŋ ʲ ˈ c ɛ r t͡ʂ ɨ k
dunkierka,d ũ ŋ ʲ ˈ c ɛ r k a
dunkierski,d ũ ŋ ʲ ˈ c ɛ r s ʲ c i
duola,d u ˈ s u p w s u p ɔ l a
dupa,ˈ d u p a
dupczyć,ˈ d u p t͡ʂ ɨ t͡ɕ
dupeczka,d u ˈ p ɛ t͡ʂ k a
dupek,ˈ d u p ɛ k
dupelbir,d u ˈ p ɛ l b ʲ i r
duperele,d u p ɛ ˈ r ɛ l ɛ
dupodajca,d u p ɔ ˈ d a j t͡s a
dupodajka,d u p ɔ ˈ d a j k a
dupojebak,d u p ɔ ˈ j ɛ b a k
dupojebstwo,d u p ɔ ˈ j ɛ p s t f ɔ
dupowaty,d u p ɔ ˈ v a t ɨ
dur,d u r
dureń,ˈ d u r ɛ̃ ɲ
durian,ˈ d u r ʲ j ã n
durnica,d u r ʲ ˈ ɲ i t͡s a
durnowaty,d u r n ɔ ˈ v a t ɨ
durny,ˈ d u r n ɨ
durszlak,ˈ d u r ʂ l a k
duser,ˈ d u s ɛ r
dusiołek,d u ˈ ɕ ɔ w ɛ k
dusić,ˈ d u ɕ i t͡ɕ
dusza,ˈ d u ʂ a
duszanbe,d u ˈ ʂ ã n b ɛ
duszanbejczyk,d u ʂ ã n ˈ b ɛ j t͡ʂ ɨ k
duszanbejka,d u ʂ ã n ˈ b ɛ j k a
duszanbejski,d u ʂ ã n ˈ b ɛ j s ʲ c i
duszek,ˈ d u ʂ ɛ k
duszenie,d u ˈ ʂ ɛ̃ ɲ ɛ
duszno,ˈ d u ʂ n ɔ
duszny,ˈ d u ʂ n ɨ
duszochwat,d u ˈ ʂ ɔ x f a t
duszoszczypatielny,d u ʂ ɔ ʂ t͡ʂ ɨ p a ˈ t ʲ j ɛ l n ɨ
duszyca,d u ˈ ʂ ɨ t͡s a
dutka,ˈ d u t k a
dużo,ˈ d u ʐ ɔ
duży,ˈ d u ʐ ɨ
dvd,d ʲ i v ʲ i ˈ d ʲ i
dwa,d v a
dwadzieścia,d v a ˈ d͡ʑ ɛ ɕ t͡ɕ a
dwadzieścioro,d v a d͡ʑ ɛ ɕ ˈ t͡ɕ ɔ r ɔ
dwaj,d v a j
dwanaście,d v ã ˈ n a ɕ t͡ɕ ɛ
dwanaścioro,d v ã n a ɕ ˈ t͡ɕ ɔ r ɔ
dwc,d ɛ v u ˈ t͡s ɛ
dwieście,ˈ d v ʲ j ɛ ɕ t͡ɕ ɛ
dwoinka,d v ɔ ˈ s u p j s u p i n k a
dwojaczki,d v ɔ ˈ j a t͡ʂ ʲ c i
dwojaki,d v ɔ ˈ j æ c i
dwojako,d v ɔ ˈ j a k ɔ
dwojc,d v ɔ j t͡s
dwoje,ˈ d v ɔ j ɛ
dworactwo,d v ɔ ˈ r a t͡s t f ɔ
dworski,ˈ d v ɔ r s ʲ c i
dworzec,ˈ d v ɔ ʐ ɛ t͡s
dwu-,d v u
dwuścian,ˈ d v u ɕ t͡ɕ ã n
dwuśrednian,d v u ˈ ɕ r ɛ d ʲ ɲ ã n
dwuaktowy,d v u s u p w s u p a k ˈ t ɔ v ɨ
dwuargumentowy,d v u s u p w s u p a r ɡ ũ m ɛ̃ n ˈ t ɔ v ɨ
dwubarwny,d v u ˈ b a r v n ɨ
dwubiegunowy,d v u b ʲ j ɛ ɡ ũ ˈ n ɔ v ɨ
dwucalowy,d v u t͡s a ˈ l ɔ v ɨ
dwucyfrowy,d v u t͡s ɨ f ˈ r ɔ v ɨ
dwucylindrowy,d v u t͡s ɨ l ʲ i n ˈ d r ɔ v ɨ
dwuczworogran,d v u t͡ʂ f ɔ ˈ r ɔ ɡ r ã n
dwuczworogranny,d v u t͡ʂ f ɔ r ɔ ˈ ɡ r ã n ɨ
dwuczęściowy,d v u t͡ʂ ɛ̃ w̃ ɕ ˈ t͡ɕ ɔ v ɨ
dwuczłonowy,d v u t͡ʂ w ɔ̃ ˈ n ɔ v ɨ
dwudaniowy,d v u d ã ˈ ɲ ɔ v ɨ
dwudeklinacyjny,d v u d ɛ k l ʲ i n a ˈ t͡s ɨ j n ɨ
dwudniaczka,d v u ˈ d ʲ ɲ a t͡ʂ k a
dwudniak,ˈ d v u d ʲ ɲ a k
dwudniowy,d v u ˈ d ʲ ɲ ɔ v ɨ
dwudzielny,d v u ˈ d͡ʑ ɛ l n ɨ
dwudziestka,d v u ˈ d͡ʑ ɛ s t k a
dwudziestoczterofuntowy,d v u d͡ʑ ɛ s t ɔ t͡ʂ t ɛ r ɔ f ũ n ˈ t ɔ v ɨ
dwudziestoczterogodzinny,d v u d͡ʑ ɛ s t ɔ t͡ʂ t ɛ r ɔ ɡ ɔ ˈ d͡ʑ i n ɨ
dwudziestoczterolatek,d v u d͡ʑ ɛ s t ɔ t͡ʂ t ɛ r ɔ ˈ l a t ɛ k
dwudziestoczterolatka,d v u d͡ʑ ɛ s t ɔ t͡ʂ t ɛ r ɔ ˈ l a t k a
dwudziestoczteroletni,d v u d͡ʑ ɛ s t ɔ t͡ʂ t ɛ r ɔ ˈ l ɛ t ʲ ɲ i
dwudziestoczterotomowy,d v u d͡ʑ ɛ s t ɔ t͡ʂ t ɛ r ɔ t ɔ̃ ˈ m ɔ v ɨ
dwudziestodniowy,d v u d͡ʑ ɛ s t ɔ ˈ d ʲ ɲ ɔ v ɨ
dwudziestodwugodzinny,d v u d͡ʑ ɛ s t ɔ d v u ɡ ɔ ˈ d͡ʑ i n ɨ
dwudziestodwulatek,d v u d͡ʑ ɛ s t ɔ d v u ˈ l a t ɛ k
dwudziestodwulatka,d v u d͡ʑ ɛ s t ɔ d v u ˈ l a t k a
dwudziestodwuletni,d v u d͡ʑ ɛ s t ɔ d v u ˈ l ɛ t ʲ ɲ i
dwudziestodwuosobowy,d v u d͡ʑ ɛ s t ɔ d v u s u p w s u p ɔ s ɔ ˈ b ɔ v ɨ
dwudziestodwutomowy,d v u d͡ʑ ɛ s t ɔ d v u t ɔ̃ ˈ m ɔ v ɨ
dwudziestodziewięciolatek,d v u d͡ʑ ɛ s t ɔ d͡ʑ ɛ v ʲ j ɛ̃ ɲ t͡ɕ ɔ ˈ l a t ɛ k
dwudziestodziewięciolatka,d v u d͡ʑ ɛ s t ɔ d͡ʑ ɛ v ʲ j ɛ̃ ɲ t͡ɕ ɔ ˈ l a t k a
dwudziestodziewięcioletni,d v u d͡ʑ ɛ s t ɔ d͡ʑ ɛ v ʲ j ɛ̃ ɲ t͡ɕ ɔ ˈ l ɛ t ʲ ɲ i
dwudziestodziewięciotomowy,d v u d͡ʑ ɛ s t ɔ d͡ʑ ɛ v ʲ j ɛ̃ ɲ t͡ɕ ɔ t ɔ̃ ˈ m ɔ v ɨ
dwudziestogodzinny,d v u d͡ʑ ɛ s t ɔ ɡ ɔ ˈ d͡ʑ i n ɨ
dwudziestogroszowy,d v u d͡ʑ ɛ s t ɔ ɡ r ɔ ˈ ʂ ɔ v ɨ
dwudziestogroszówka,d v u ˈ d͡ʑ ɛ s t ɔ ɡ r ɔ ˈ ʂ u f k a
dwudziestojednogodzinny,d v u d͡ʑ ɛ s t ɔ j ɛ d n ɔ ɡ ɔ ˈ d͡ʑ i n ɨ
dwudziestojednolatek,d v u d͡ʑ ɛ s t ɔ j ɛ d n ɔ ˈ l a t ɛ k
dwudziestojednolatka,d v u d͡ʑ ɛ s t ɔ j ɛ d n ɔ ˈ l a t k a
dwudziestojednoletni,d v u d͡ʑ ɛ s t ɔ j ɛ d n ɔ ˈ l ɛ t ʲ ɲ i
dwudziestojednotomowy,d v u d͡ʑ ɛ s t ɔ j ɛ d n ɔ t ɔ̃ ˈ m ɔ v ɨ
dwudziestokilkuletni,d v u d͡ʑ ɛ s t ɔ c i l k u ˈ l ɛ t ʲ ɲ i
dwudziestokoronowy,d v u d͡ʑ ɛ s t ɔ k ɔ r ɔ̃ ˈ n ɔ v ɨ
dwudziestokrotnie,d v u d͡ʑ ɛ s t ɔ ˈ k r ɔ t ʲ ɲ ɛ
dwudziestokrotny,d v u d͡ʑ ɛ s t ɔ ˈ k r ɔ t n ɨ
dwudziestolatek,d v u d͡ʑ ɛ s t ɔ ˈ l a t ɛ k
dwudziestolatka,d v u d͡ʑ ɛ s t ɔ ˈ l a t k a
dwudziestolecie,d v u d͡ʑ ɛ s t ɔ ˈ l ɛ t͡ɕ ɛ
dwudziestoletni,d v u d͡ʑ ɛ s t ɔ ˈ l ɛ t ʲ ɲ i
dwudziestoliterowy,d v u ˈ d͡ʑ ɛ s t ɔ l ʲ i t ɛ ˈ r ɔ v ɨ
dwudziestoparoletni,d v u d͡ʑ ɛ s t ɔ p a r ɔ ˈ l ɛ t ʲ ɲ i
dwudziestopensowy,d v u d͡ʑ ɛ s t ɔ p ɛ̃ w̃ ˈ s ɔ v ɨ
dwudziestopensówka,d v u d͡ʑ ɛ s t ɔ p ɛ̃ w̃ ˈ s u f k a
dwudziestopięciocentowy,d v u d͡ʑ ɛ s t ɔ p ʲ j ɛ̃ ɲ t͡ɕ ɔ t͡s ɛ̃ n ˈ t ɔ v ɨ
dwudziestopięciocentówka,d v u d͡ʑ ɛ s t ɔ p ʲ j ɛ̃ ɲ t͡ɕ ɔ t͡s ɛ̃ n ˈ t u f k a
dwudziestopięciolatek,d v u d͡ʑ ɛ s t ɔ p ʲ j ɛ̃ ɲ t͡ɕ ɔ ˈ l a t ɛ k
dwudziestopięciolatka,d v u d͡ʑ ɛ s t ɔ p ʲ j ɛ̃ ɲ t͡ɕ ɔ ˈ l a t k a
dwudziestopięcioletni,d v u d͡ʑ ɛ s t ɔ p ʲ j ɛ̃ ɲ t͡ɕ ɔ ˈ l ɛ t ʲ ɲ i
dwudziestopięciotomowy,d v u d͡ʑ ɛ s t ɔ p ʲ j ɛ̃ ɲ t͡ɕ ɔ t ɔ̃ ˈ m ɔ v ɨ
dwudziestosiedmiolatek,d v u d͡ʑ ɛ s t ɔ ɕ ɛ d m ʲ j ɔ ˈ l a t ɛ k
dwudziestosiedmiolatka,d v u d͡ʑ ɛ s t ɔ ɕ ɛ d m ʲ j ɔ ˈ l a t k a
