čač,t͡ʃ a t͡ʃ
jihoafrický,j ɪ ɦ ɔ a f r ɪ t͡s k iː
jihoamerický,j ɪ ɦ ɔ a m ɛ r ɪ t͡s k iː
jihoamerických,j ɪ ɦ ɔ a m ɛ r ɪ t͡s k iː x
jihoameričan,j ɪ ɦ ɔ a m ɛ r ɪ t ʃ a n
jihoanglickém,j ɪ ɦ ɔ a ŋ ɡ l ɪ t͡s k ɛː m
jihoanglický,j ɪ ɦ ɔ a ŋ ɡ l ɪ t͡s k iː
jihoevropský,j ɪ ɦ ɔ ɛ v r ɔ p s k iː
jihokorejský,j ɪ ɦ ɔ k ɔ r ɛ j s k iː
jihomoravský,j ɪ ɦ ɔ m ɔ r a f s k iː
jihopákistánské,j ɪ ɦ ɔ p aː k ɪ s t aː n s k ɛː
jihopákistánský,j ɪ ɦ ɔ p aː k ɪ s t aː n s k iː
jihoslávie,j ɪ ɦ ɔ s l aː v ɪ j ɛ
jihovýchod,j ɪ ɦ ɔ v iː x ɔ t
jihovýchodní,j ɪ ɦ ɔ v iː x ɔ d ɲ iː
jihovýchodně,j ɪ ɦ ɔ v iː x ɔ d ɲ ɛ
jihovýchodě,j ɪ ɦ ɔ v iː x ɔ ɟ ɛ
jihozápad,j ɪ ɦ ɔ z aː p a t
jihozápadní,j ɪ ɦ ɔ z aː p a d ɲ iː
jihozápadně,j ɪ ɦ ɔ z aː p a d ɲ ɛ
jihočeský,j ɪ ɦ ɔ t͡ʃ ɛ s k iː
jihočeských,j ɪ ɦ ɔ t͡ʃ ɛ s k iː x
jihočínském,j ɪ ɦ ɔ t͡ʃ iː n s k ɛː m
jihočínský,j ɪ ɦ ɔ t͡ʃ iː n s k iː
jihu,j ɪ ɦ ʊ
jikra,j ɪ k r a
jikrný,j ɪ k r̩ n iː
jiljí,j ɪ l j iː
jilm,j ɪ l m
jilmový,j ɪ l m ɔ v iː
jim,j ɪ m
jimi,j ɪ m ɪ
jimiž,j ɪ m ɪ ʃ
jimž,j ɪ m ʃ
jinak,j ɪ n a k
jinam,j ɪ n a m
jinan,j ɪ n a n
jinde,j ɪ n d ɛ
jindrákovi,j ɪ n d r aː k ɔ v ɪ
jindy,j ɪ n d ɪ
jindřich,j ɪ n d r̝ ɪ x
jindřichův,j ɪ n t r̝ ɪ x uː f
jindřišská,ˈ j ɪ n d r̝ ɪ ʃ s k aː
jinoch,ˈ j ɪ n ɔ x
jinochod,j ɪ n ɔ x ɔ t
jinonic,j ɪ n ɔ ɲ ɪ t͡s
jinonice,j ɪ n ɔ ɲ ɪ t͡s ɛ
jinonickém,j ɪ n ɔ ɲ ɪ t͡s k ɛː m
jinonický,j ɪ n ɔ ɲ ɪ t͡s k iː
jinovatka,ˈ j ɪ n ɔ v a t k a
jinověrec,j ɪ n ɔ v j ɛ r ɛ t͡s
jinošík,j ɪ n ɔ ʃ iː k
jiná,j ɪ n aː
jináč,j ɪ n aː t͡ʃ
jiné,j ɪ n ɛː
jiného,j ɪ n ɛː ɦ ɔ
jiný,j ɪ n iː
jiných,j ɪ n iː x
jiným,j ɪ n iː m
jip,j ɪ p
jircha,ˈ j ɪ r x a
jirchový,j ɪ r x ɔ v iː
jirčák,j ɪ r t͡ʃ aː k
jiskra,ˈ j ɪ s k r a
jist,j ɪ s t
jistebnický,j ɪ s t ɛ b ɲ ɪ t͡s k iː
jistej,j ɪ s t ɛ j
jisti,j ɪ s c ɪ
jistina,j ɪ s c ɪ n a
jistit,j ɪ s c ɪ t
jistiti,j ɪ s c ɪ c ɪ
jistota,j ɪ s t ɔ t a
jistá,j ɪ s t aː
jistého,j ɪ s t ɛː ɦ ɔ
jistí,j ɪ s t͡s iː
jistý,j ɪ s t iː
jistě,j ɪ s c ɛ
jistější,j ɪ s c ɛ j ʃ iː
jitka,j ɪ t k a
jitrnice,j ɪ t r̩ ɲ ɪ t͡s ɛ
jitro,j ɪ t r ɔ
jitrocelový,j ɪ t r ɔ t͡s ɛ l ɔ v iː
jitřenka,j ɪ t r̝̊ ɛ ŋ k a
jitřní,j ɪ t r̝̊ ɲ iː
jizba,j ɪ z b a
jizera,j ɪ z ɛ r a
jizva,j ɪ z v a
již,j ɪ ʃ
jižní,j ɪ ʒ ɲ iː
jižních,j ɪ ʒ ɲ iː x
jižně,j ɪ ʒ ɲ ɛ
jmelí,j m ɛ l iː
jmenný,j m ɛ n iː
jmenovat,j m ɛ n ɔ v a t
jmenovatel,j m ɛ n ɔ v a t ɛ l
jmenovec,j m ɛ n ɔ v ɛ t͡s
jmenovitý,j m ɛ n ɔ v ɪ t iː
jmenovka,j m ɛ n ɔ f k a
jmenuje,j m ɛ n ʊ j ɛ
jmout,j m ɔ ʊ̯ t
jména,j m ɛː n a
jménem,j m ɛː n ɛ m
jméno,j m ɛː n ɔ
jmín,j m iː n
jmína,j m iː n a
jmíni,j m iː ɲ ɪ
jmíno,j m iː n ɔ
jmíny,j m iː n ɪ
jo,j ɔ
job,j ɔ p
jobovka,j ɔ b ɔ f k a
jod,j ɔː t
jodoform,j ɔ d ɔ f ɔ r m
jodovodík,j ɔ d ɔ v ɔ ɟ iː k
jodový,j ɔ d ɔ v iː
jogurt,ˈ j ɔ ɡ ʊ r t
jogurtový,j ɔ ɡ ʊ r t ɔ v iː
jogín,j ɔ ɡ iː n
jogínka,j ɔ ɡ iː ŋ k a
jogínův,j ɔ ɡ iː n uː f
johana,j ɔ ɦ a n a
johanečka,ˈ j ɔ ɦ a n ɛ t͡ʃ k a
johanitský,j ɔ ɦ a n ɪ t s k iː
johanka,ˈ j ɔ ɦ a ŋ k a
johannesburg,j ɔ ɦ a n ɛ z b ʊ r k
john,j ɔː n
joik,j ɔ j k
joikovat,j ɔ j k ɔ v a t
joj,j ɔ j
jojo,j ɔ j ɔ
jokohama,j ɔ k ɔ ɦ a m a
jolek,j ɔ l ɛ k
jolka,ˈ j ɔ l k a
jonáš,j ɔ n aː ʃ
jonášův,j ɔ n aː ʃ uː f
jůra,ˈ j uː r a
jordán,ˈ j ɔ r d aː n
jordánec,j ɔ r d aː n ɛ t͡s
jordánka,j ɔ r d aː ŋ k a
jordánsko,j ɔ r d aː n s k ɔ
jordánský,j ɔ r d aː n s k iː
jorová,ˈ j ɔ r ɔ v aː
josef,j ɔ z ɛ f
josefův,j ɔ z ɛ f uː f
joudové,ˈ j ɔ ʊ̯ d ɔ v ɛː
jourová,ˈ j ɔ ʊ̯ r ɔ v aː
jozef,j ɔ z ɛ f
jozue,j ɔ z ʊ ɛ
jsa,j s a
jsem,j s ɛ m
jsem,s ɛ m
jsi,j s ɪ
jsi,s ɪ
jsme,j s m ɛ
jsme,s m ɛ
jsme,z m ɛ
jsou,j s ɔ ʊ̯
jsou,s ɔ ʊ̯
jsouc,j s ɔ ʊ̯ t͡s
jsouce,j s ɔ ʊ̯ t͡s ɛ
jsouce,s ɔ ʊ̯ t͡s ɛ
jsoucno,j s ɔ ʊ̯ t͡s n ɔ
jsoucí,j s ɔ ʊ̯ t͡s iː
jsoucí,ˈ s ɔ ʊ̯ t͡s iː
jste,j s t ɛ
jste,s t ɛ
jubilejní,j ʊ b ɪ l ɛ j ɲ iː
juchú,j ʊ x uː
judaista,j ʊ d a j ɪ s t a
judiciální,j ʊ d ɪ t͡s ɪ aː l ɲ iː
judikaturní,j ʊ d ɪ k a t ʊ r ɲ iː
judista,t ʒ ʊ d ɪ s t a
judsko,j ʊ t͡s k ɔ
jugoslávie,j ʊ ɡ ɔ s l aː v ɪ j ɛ
jugoslávský,j ʊ ɡ ɔ s l aː f s k iː
jugoslávští,j ʊ ɡ ɔ s l aː f ʃ c iː
jugulární,j ʊ ɡ ʊ l aː r ɲ iː
juka,j ʊ k a
jukat,j ʊ k a t
juknout,j ʊ k n ɔ ʊ̯ t
jules,ʒ ɪ l
julesa,ʒ ɪ l a
julese,ʒ ɪ l a
julese,ʒ ɪ l ɛ
julese,ʒ ɪ l ɪ
julie,j uː l ɪ j ɛ
julius,j uː l ɪ j ʊ s
julius,j ʊ l ɪ j ʊ s
julián,j ʊ l ɪ aː n
jungmann,j ʊ ŋ ɡ m a n
jungmannův,j ʊ ŋ ɡ m a n uː f
junior,j ʊ n ɪ j ɔ r
juniorská,j ʊ n ɪ ɔ r s k aː
juniorského,j ʊ n ɪ ɔ r s k ɛː ɦ ɔ
juniorský,j ʊ n ɪ ɔ r s k iː
junák,ˈ j ʊ n aː k
jupiter,j ʊ p ɪ t ɛ r
jura,ˈ j ʊ r a
jurda,j ʊ r d a
jurdy,j ʊ r d ɪ
jurský,j ʊ r s k iː
jurta,j ʊ r t a
jurtový,j ʊ r t ɔ v iː
justice,j ʊ s t ɪ t͡s ɛ
justiciár,j ʊ s t ɪ t͡s ɪ j aː r
justiciář,j ʊ s t ɪ t͡s ɪ j aː r̝̊
justiční,j ʊ s t ɪ t͡ʃ ɲ iː
justování,j ʊ s t ɔ v aː ɲ iː
juta,j ʊ t a
jutař,j ʊ t a r̝̊
jutovník,j ʊ t ɔ v ɲ iː k
jutsko,j ʊ t͡s k ɔ
jutský,j ʊ t s k iː
juvenilní,j ʊ v ɛ n ɪ l ɲ iː
juvenilní,ˈ j ʊ v ɛ n ɪ l ɲ iː
juvie,j ʊ v ɪ j ɛ
juž,j ʊ ʃ
já,j aː
jáchymův,j aː x ɪ m uː f
jádrem,j aː d r ɛ m
jádro,j aː d r ɔ
jádřinec,ˈ j aː d r̝ ɪ n ɛ t͡s
jágr,j aː ɡ r̩
jáhen,j aː ɦ ɛ n
jáhla,j aː ɦ l a
jáhlička,j aː ɦ l ɪ t͡ʃ k a
jáhlový,j aː ɦ l ɔ v iː
jájinkovství,j aː j ɪ ŋ k ɔ f s t v iː
jáma,j aː m a
ján,j aː n
jár,j aː r
jára,j aː r a
jásat,j aː s a t
jásavě,j aː s a v j ɛ
játra,j aː t r a
játrový,j aː t r ɔ v iː
jáva,j aː v a
jávský,j aː f s k iː
jé,j ɛː
jí,j iː
jícen,j iː t͡s ɛ n
jícnový,j iː t͡s n ɔ v iː
jídat,j iː d a t
jídelen,j iː d ɛ l ɛ n
jídelna,j iː d ɛ l n a
jídelnami,j iː d ɛ l n a m ɪ
jídelno,j iː d ɛ l n ɔ
jídelnou,j iː d ɛ l n ɔ ʊ̯
jídelnu,j iː d ɛ l n ʊ
jídelny,j iː d ɛ l n ɪ
jídelnách,j iː d ɛ l n aː x
jídelnám,j iː d ɛ l n aː m
jídelní,j iː d ɛ l ɲ iː
jídelně,j iː d ɛ l ɲ ɛ
jídelák,j iː d ɛ l aː k
jídelňák,j iː d ɛ l ɲ aː k
jídla,j iː d l a
jídlem,j iː d l ɛ m
jídlo,j iː d l ɔ
jíl,j iː l
jílec,j iː l ɛ t͡s
jílek,j iː l ɛ k
jílový,j iː l ɔ v iː
jím,j iː m
jímá,ˈ j iː m aː
jímž,j iː m ʃ
jíní,j iː ɲ iː
jíra,j iː r a
jírovec,j iː r ɔ v ɛ t͡s
jíst,j iː s t
jísti,j iː s c ɪ
jít,j iː t
jíti,j iː c ɪ
jívový,j iː v ɔ v iː
jízd,j iː s t
jízda,j iː z d a
jízdenka,j iː z d ɛ ŋ k a
jízdné,j iː z d n ɛː
jízdní,j iː z d ɲ iː
jízdy,j iː z d ɪ
jízdárna,j iː z d aː r n a
jízlivý,j iː z l ɪ v iː
jíš,j iː ʃ
jíška,j iː ʃ k a
jíškový,j iː ʃ k ɔ v iː
jíž,j iː ʃ
jód,j ɔː t
jódlovat,j ɔː d l ɔ v a t
jódlovati,j ɔː d l ɔ v a c ɪ
jódový,j ɔː d ɔ v iː
jóga,j ɔː ɡ a
jú,j uː
kč,k aː t͡ʃ ɛː
kčs,k aː t͡ʃ ɛː ɛ s
k,k aː
kňour,k ɲ ɔ ʊ̯ r
křehký,k r̝̊ ɛ x k iː
křehoučký,k r̝̊ ɛ ɦ ɔ ʊ̯ t͡ʃ k iː
křemelice,k r̝̊ ɛ m ɛ l ɪ t͡s ɛ
křemelák,k r̝̊ ɛ m ɛ l aː k
křemen,k r̝̊ ɛ m ɛ n
křemenačka,k r̝̊ ɛ m ɛ n a t͡ʃ k a
křemenný,k r̝̊ ɛ m ɛ n iː
křemenový,k r̝̊ ɛ m ɛ n ɔ v iː
křemík,k r̝̊ ɛ m iː k
křenový,k r̝̊ ɛ n ɔ v iː
křepelice,k r̝̊ ɛ p ɛ l ɪ t͡s ɛ
křepelka,k r̝̊ ɛ p ɛ l k a
křesadlo,k r̝̊ ɛ s a d l ɔ
křesat,k r̝̊ ɛ s a t
křeslo,k r̝̊ ɛ s l ɔ
křest,k r̝̊ ɛ s t
křesílko,k r̝̊ ɛ s iː l k ɔ
křesťan,k r̝̊ ɛ s c a n
křesťanka,k r̝̊ ɛ s c a ŋ k a
křesťanský,k r̝̊ ɛ s c a n s k iː
křesťanstvo,k r̝̊ ɛ s c a n s t v ɔ
křesťanství,k r̝̊ ɛ s c a n s t v iː
křesťany,k r̝̊ ɛ s c a n ɪ
křesťanův,k r̝̊ ɛ s c a n uː f
křeč,k r̝̊ ɛ t͡ʃ
křeček,k r̝̊ ɛ t͡ʃ ɛ k
křib,k r̝ ɪ p
křik,k r̝̊ ɪ k
křikloun,k r̝̊ ɪ k l ɔ ʊ̯ n
křiklounů,k r̝̊ ɪ k l ɔ ʊ̯ n uː
křiklounům,k r̝̊ ɪ k l ɔ ʊ̯ n uː m
křivda,ˈ k r̝̊ ɪ v d a
křivdit,k r̝̊ ɪ v ɟ ɪ t
křivka,k r̝̊ ɪ f k a
křivkách,k r̝̊ ɪ f k aː x
křivohlávková,ˈ k r̝̊ ɪ v ɔ ɦ l aː f k ɔ v aː
křivolaký,k r̝̊ ɪ v ɔ l a k iː
křivou,k r̝̊ ɪ v ɔ ʊ̯
křivák,k r̝̊ ɪ v aː k
křivánek,k r̝̊ ɪ v aː n ɛ k
křivánková,k r̝̊ ɪ v aː ŋ k ɔ v aː
křiví,k r̝̊ ɪ v iː
křivý,k r̝̊ ɪ v iː
křiče,k r̝̊ ɪ t͡ʃ ɛ
křičet,k r̝̊ ɪ t͡ʃ ɛ t
křičí,k r̝̊ ɪ t͡ʃ iː
křišťan,k r̝̊ ɪ ʃ c a n
křišťál,k r̝̊ ɪ ʃ c aː l
křiž,k r̝̊ ɪ ʃ
křižmo,k r̝̊ ɪ ʒ m ɔ
křižník,k r̝̊ ɪ ʒ ɲ iː k
křižovatka,k r̝̊ ɪ ʒ ɔ v a t k a
křižovatkou,k r̝̊ ɪ ʒ ɔ v a t k ɔ ʊ̯
křižovatky,k r̝̊ ɪ ʒ ɔ v a t k ɪ
křižovatkách,k r̝̊ ɪ ʒ ɔ v a t k aː x
křižák,k r̝̊ i ʒ aː k
křižákův,k r̝̊ ɪ ʒ aː k uː f
křovina,ˈ k r̝ ɔ v ɪ n a
křoví,ˈ k r̝̊ ɔ v iː
křtiny,k r̝̊ t ɪ n ɪ
křtitelnice,k r̝̊ c ɪ t ɛ l ɲ ɪ t͡s ɛ
křtím,k r̝̊ c iː m
křtít,k r̝̊ c iː t
křtěn,k r̝̊ c ɛ n
křupala,k r̝̊ ʊ p a l a
křupan,ˈ k r̝ ʊ p a n
křupat,k r̝̊ ʊ p a t
křáp,k r̝̊ aː p
křída,k r̝̊ iː d a
křídle,k r̝̊ iː d l ɛ
křídlo,k r̝̊ iː d l ɔ
křídloma,k r̝̊ iː d l ɔ m a
křídlovka,k r̝̊ iː d l ɔ f k a
kříž,k r̝̊ iː ʃ
křížala,k r̝̊ iː ʒ a l a
kříže,k r̝̊ iː ʒ ɛ
křížek,k r̝̊ iː ʒ ɛ k
křížem,k r̝̊ iː ʒ ɛ m
kříženec,k r̝̊ iː ʒ ɛ n ɛ t͡s
kříži,k r̝̊ iː ʒ ɪ
křížovka,k r̝̊ iː ʒ ɔ f k a
křížovkář,k r̝̊ iː ʒ ɔ f k aː r̝̊
křížovník,k r̝̊ iː ʒ o v ɲ iː k
křížový,k r̝̊ iː ʒ ɔ v iː
kříží,k r̝̊ iː ʒ iː
křížích,k r̝̊ iː ʒ iː x
křížů,k r̝̊ iː ʒ uː
křížům,k r̝̊ iː ʒ uː m
kačena,k a t ʃ ɛ n a
kačenka,k a t͡ʃ e ŋ k a
kačení,k a t͡ʃ ɛ ɲ iː
kačer,k a t͡ʃ ɛ r
kačičí,k a t͡ʃ ɪ t͡ʃ iː
kačka,k a t͡ʃ k a
kaňon,k a ɲ ɔ n
kaše,k a ʃ ɛ
kašel,ˈ k a ʃ ɛ l
kšaft,k ʃ a f t
kašlat,ˈ k a ʃ l a t
kašlati,k a ʃ l a c ɪ
kašmír,k a ʃ m iː r
kšanda,k ʃ a n d a
kašpar,k a ʃ p a r
kaštan,k a ʃ t a n
kaštanovník,k a ʃ t a n ɔ v ɲ iː k
kaštanový,k a ʃ t a n ɔ v iː
kaštánek,k a ʃ t aː n ɛ k
kašubsky,k a ʃ ʊ p s k ɪ
kašubština,k a ʃ ʊ p ʃ c ɪ n a
kabala,k a b a l a
kabaretu,k a b a r ɛ t ʊ
kabel,k a b ɛ l
kabelka,k a b ɛ l k a
kabina,k a b ɪ n a
kabinet,ˈ k a b ɪ n ɛ t
kabinetní,ˈ k a b ɪ n ɛ t ɲ iː
kabinetu,k a b ɪ n ɛ t ʊ
kabiny,k a b ɪ n ɪ
kabině,k a b ɪ ɲ ɛ
kabriolet,k a b r ɪ ɔ l ɛ t
kabát,k a b aː t
kabřinec,k a b r̝ ɪ n ɛ t͡s
kachna,ˈ k a x n a
kachnička,k a x ɲ ɪ t͡ʃ k a
kachny,k a x n ɪ
kachní,k a x ɲ iː
kachně,ˈ k a x ɲ ɛ
kachňátko,k a x ɲ aː t k ɔ
kacíř,k a t͡s iː r̝̊
kadaň,k a d a ɲ
kadetský,k a d ɛ t s k iː
kadeř,k a d ɛ r̝̊
kadeřnice,k a d ɛ r̝ ɲ ɪ t͡s ɛ
kadeřnictví,k a d ɛ r̝ ɲ ɪ t͡s t v iː
kadeřník,k a d ɛ r̝ ɲ iː k
kadeřníkův,k a d ɛ r̝ ɲ iː k uː f
kadibouda,k a ɟ ɪ b ɔ ʊ̯ d a
kadibudka,k a ɟ ɪ b ʊ t k a
kadidelnice,k a ɟ ɪ d ɛ l ɲ ɪ t͡s ɛ
kadidlo,k a ɟ i d l ɔ
kadidlový,k a ɟ ɪ d l ɔ v iː
kadit,ˈ k a ɟ ɪ t
kadlec,ˈ k a d l ɛ t͡s
kadlub,k a d l ʊ p
kadlátka,k a d l aː t k a
kadmiový,k a d m̩ ɪ j ɔ v iː
kadmium,k a d m ɪ j ʊ m
kšeft,k ʃ ɛ f t
kaťmi,k a c m ɪ
kafarnaum,k a f a r n a ʊ̯ m
kafe,k a f ɛ
kafemlejnek,k a f ɛ m l ɛ j n ɛ k
kafilerie,k a f ɪ l ɛ r ɪ j ɛ
kafilérie,k a f ɪ l ɛː r ɪ j ɛ
kafkovský,k a f k ɔ f s k iː
kafrovník,k a f r ɔ v ɲ iː k
kafrový,k a f r ɔ v iː
kaftan,k a f t a n
kaftánek,k a f t aː n ɛ k
kafíčko,k a f iː t͡ʃ k ɔ
kaganát,k a ɡ a n aː t
kagánek,k a ɡ aː n ɛ k
kahan,k a ɦ a n
kahánek,k a ɦ aː n ɛ k
kain,k a j n
kainarová,ˈ k a j n a r ɔ v aː
kainův,k a j n uː f
kaiser,ˈ k a j z r̩
kaiserka,ˈ k a j s e r k a
kaiserka,ˈ k a j z e r k a
kajak,k a j a k
kajakář,ˈ k a j a k aː r̝̊
kajakářka,ˈ k a j a k aː r̝̊ k a
kajeput,k a j ɛ p ʊ t
kajuta,k a j ʊ t a
kajánek,k a j aː n ɛ k
kajícník,k a j iː t s ɲ iː k
kajícníkův,k a j iː t͡s ɲ iː k uː f
kajínek,k a j iː n ɛ k
kajínek,k aː j iː n ɛ k
kajínka,k a j iː ŋ k a
kajínka,k aː j iː ŋ k a
kajínkem,k a j iː ŋ k ɛ m
kajínkem,k aː j iː ŋ k ɛ m
kajínkova,k a j iː ŋ k ɔ v a
kajínkova,k aː j iː ŋ k ɔ v a
kajínkovi,k a j iː ŋ k ɔ v ɪ
kajínkovi,k aː j iː ŋ k ɔ v ɪ
kajínkovo,k a j iː ŋ k ɔ v ɔ
kajínkovo,k aː j iː ŋ k ɔ v ɔ
kajínkovou,k a j iː ŋ k ɔ v ɔ ʊ̯
kajínkovou,k aː j iː ŋ k ɔ v ɔ ʊ̯
kajínkovu,k a j iː ŋ k ɔ v ʊ
kajínkovu,k aː j iː ŋ k ɔ v ʊ
kajínkovy,k a j iː ŋ k ɔ v ɪ
kajínkovy,k aː j iː ŋ k ɔ v ɪ
kajínkových,k a j iː ŋ k ɔ v iː x
kajínkových,k aː j iː ŋ k ɔ v iː x
kajínkovým,k a j iː ŋ k ɔ v iː m
kajínkovým,k aː j iː ŋ k ɔ v iː m
kajínkovými,k a j iː ŋ k ɔ v iː m ɪ
kajínkovými,k aː j iː ŋ k ɔ v iː m ɪ
kajínkově,k a j iː ŋ k ɔ v j ɛ
kajínkově,k aː j iː ŋ k ɔ v j ɛ
kajínkův,k a j iː ŋ k uː f
kajínkův,k aː j iː ŋ k uː f
kakabus,k a k a b ʊ s
kakao,k a k a ɔ
kakaovník,k a k a ɔ v ɲ iː k
kakaový,k a k a ɔ v iː
kakat,ˈ k a k a t
kakemono,k a k ɛ m ɔ n ɔ
kaki,k a k ɪ
kakofonie,ˈ k a k ɔ f ɔ n ɪ e
kaktus,k a k t ʊ s
kaktusový,k a k t ʊ s ɔ v iː
kal,ˈ k a l
kala,k a l a
kalambúr,k a l a m b uː r
kalamitě,k a l a m ɪ c ɛ
kalamář,k a l a m aː r̝̊
kalanetika,k a l a n ɛ t ɪ k a
kalba,k a l b a
kalcifikace,k a l t͡s ɪ f ɪ k a t͡s ɛ
kalciový,k a l t͡s ɪ j ɔ v iː
kaldoun,k a l d ɔ ʊ̯ n
kale,ˈ k a l ɛ
kalem,ˈ k a l ɛ m
kalena,k a l ɛ n a
kalendář,k a l ɛ n d aː r̝̊
kalendáře,k a l ɛ n d aː r̝ ɛ
kalendáři,k a l ɛ n d aː r̝ ɪ
kalendářní,k a l ɛ n d aː r̝ ɲ iː
kalendářový,k a l ɛ n d aː r̝ ɔ v iː
kaleva,ˈ k a l ɛ v a
kalevala,k a l ɛ v a l a
kalhotech,k a l ɦ ɔ t ɛ x
kalhotky,ˈ k a l ɦ ɔ t k ɪ
kalhotový,k a l ɦ ɔ t ɔ v iː
kalhoty,ˈ k a l ɦ ɔ t ɪ
kalibán,k a l ɪ b aː n
kalich,k a l ɪ x
kalichový,k a l ɪ x ɔ v iː
kalif,k a l ɪ f
kalifornie,k a l ɪ f ɔ r n ɪ j ɛ
kalifornium,k a l ɪ f ɔ r n ɪ j ʊ m
kaligrafie,k a l ɪ ɡ r a f ɪ j ɛ
kaligram,k a l ɪ ɡ r a m
kalina,k a l ɪ n a
kalinový,k a l ɪ n ɔ v iː
kalit,k a l ɪ t
kalič,k a l ɪ t͡ʃ
kališní,k a l ɪ ʃ ɲ iː
kališník,k a l ɪ ʃ ɲ iː k
kalk,k a l k
kalkata,k a l k a t a
kalkatský,k a l k a t s k iː
kalkofobní,k a l k ɔ f ɔ b ɲ iː
kalkulačka,k a l k ʊ l a t͡ʃ k a
kalkulátor,k a l k ʊ l aː t ɔ r
kalmyčka,k a l m ɪ t͡ʃ k a
kalo,k a l ɔ
kalorický,k a l ɔ r ɪ t͡s k iː
kalorie,k a l ɔ r ɪ j ɛ
kalorimetr,k a l ɔ r ɪ m ɛ t r̩
kalous,k a l ɔ ʊ̯ s
kalovka,k a l ɔ f k a
kaloň,ˈ k a l ɔ ɲ
kalpak,ˈ k a l p a k
kaluž,k a l ʊ ʃ
kalva,k a l v a
kalábrie,k a l aː b r ɪ ɛ
kalánek,k a l aː n ɛ k
kalí,k a l iː
kamčatka,k a m t͡ʃ a t k a
kamčatský,k a m t͡ʃ a t s k iː
kam,k a m
kamarád,k a m a r aː t
kamarádka,k a m a r aː t k a
kamarádky,k a m a r aː t k ɪ
kamarádův,k a m a r aː d uː f
kambodžanka,k a m b ɔ t ʒ a ŋ k a
kambodžský,k a m b ɔ t͡ʃ s k iː
kamelot,k a m ɛ l ɔ t
kamelotův,k a m ɛ l ɔ t uː f
kamen,k a m ɛ n
kamenka,k a m ɛ ŋ k a
kamenný,k a m ɛ n iː
kamenodělník,k a m ɛ n ɔ ɟ ɛ l ɲ iː k
kamenolom,k a m ɛ n ɔ l ɔ m
kamenotisk,k a m ɛ n ɔ c ɪ s k
kameny,k a m ɛ n ɪ
kamení,k a m ɛ ɲ iː
kameník,k a m ɛ ɲ iː k
kamením,k a m ɛ ɲ iː m
kameníček,k a m ɛ ɲ iː t ʃ ɛ k
kameníčko,k a m ɛ ɲ iː t ʃ k o
kamer,k a m ɛ r
kamera,k a m ɛ r a
kameraman,k a m ɛ r a m a n
kameramanův,k a m ɛ r a m a n uː f
kamerami,k a m ɛ r a m ɪ
kamero,k a m ɛ r ɔ
kamerou,k a m ɛ r ɔ ʊ̯
kamerový,k a m ɛ r ɔ v iː
kamerun,k a m ɛ r ʊ n
kamerunský,k a m ɛ r ʊ n s k iː
kamery,k a m ɛ r ɪ
kamerách,k a m ɛ r aː x
kamerám,k a m ɛ r aː m
kameře,k a m ɛ r̝ ɛ
kamil,k a m ɪ l
kamila,k a m ɪ l a
kamion,k a m ɪ j ɔ n
kamionů,k a m ɪ j ɔ n uː
kamioňák,k a m ɪ ɔ ɲ aː k
kamizola,k a m ɪ z ɔ l a
kamión,k a m ɪ j ɔː n
kamkoli,k a m k ɔ l ɪ
kamkoliv,k a m k ɔ l ɪ f
kamna,k a m n a
kamnech,k a m n ɛ x
kampala,k a m p a l a
kampani,k a m p a ɲ ɪ
kampanologie,k a m p a n ɔ l ɔ ɡ ɪ j ɛ
kampaní,k a m p a ɲ iː
kampaně,k a m p a ɲ ɛ
kampaň,k a m p a ɲ
kampelička,k a m p ɛ l ɪ t͡ʃ k a
kampou,k a m p ɔ ʊ̯
kampský,k a m p s k iː
kampus,k a m p ʊ s
kamzičník,k a m z ɪ t ʃ ɲ iː k
kamzičí,k a m z ɪ t͡ʃ iː
kamzík,k a m z iː k
kamínek,k a m iː n ɛ k
kamínka,k a m iː ŋ k a
kamínky,k a m iː ŋ k ɪ
kamínkům,k a m iː ŋ k uː m
kamýk,k a m iː k
kančí,k a n t͡ʃ iː
kana,ˈ k a n a
kanada,k a n a d a
kanadského,k a n a t͡s k ɛː ɦ ɔ
kanadský,k a n a t͡s k iː
kanafas,k a n a f a s
kanalizace,k a n a l ɪ z a t͡s ɛ
kanape,k a n a p ɛ
kanapka,k a n a p k a
kanapíčko,k a n a p iː t͡ʃ k ɔ
kanaďan,k a n a ɟ a ŋ
kanaďanka,k a n a ɟ a ŋ k a
kancelista,k a n t͡s ɛ l ɪ s t a
kancelář,k a n t͡s ɛ l aː r̝̊
kanceláře,k a n t͡s ɛ l aː r̝ ɛ
kancerogen,k a n t͡s ɛ r ɔ ɡ ɛ n
kancerogenní,k a n t͡s ɛ r ɔ ɡ ɛ ɲ iː
kancionál,k a n t͡s ɪ j ɔ n aː l
kancléřka,ˈ k a n t͡s l ɛː r̝̊ k a
kandela,k a n d ɛ l a
kandelábr,k a n d ɛ l aː b r̩
kandidaturou,ˈ k a n d ɪ d a t ʊ r ɔ ʊ̯
kandidoval,k a n d ɪ d ɔ v a l
kandidát,k a n d ɪ d aː t
kandidáta,k a n d ɪ d aː t a
kandidátce,k a n d ɪ d aː t t͡s ɛ
kandidátek,k a n d ɪ d aː t ɛ k
kandidátem,k a n d ɪ d aː t ɛ m
kandidátka,k a n d ɪ d aː t k a
