ăl,ə l
epidermic,e p i ˈ d e r m i k
epidermizare,e p i d e r m i ˈ z a r e
epidermofiție,e p i d e r m o ˈ f i t͡s i e
epidermoliză,e p i d e r m o ˈ l i z ə
epidermă,e p i ˈ d e r m ə
epidiascop,e p i d i a s ˈ k o p
epidictic,e p i ˈ d i k t i k
epidot,e p i ˈ d o t
epifenomen,e p i f e n o ˈ m e n
epifenomenalism,e p i f e n o m e n a ˈ l i s m
epifit,e p i ˈ f i t
epifiză,e p i ˈ f i z ə
epifonem,e p i f o ˈ n e m
epiforă,e ˈ p i f o r ə
epifrază,e p i ˈ f r a z ə
epigastralgie,e p i ɡ a s t r a l ˈ d ʒ i e
epigastric,e p i ˈ ɡ a s t r i k
epigastru,e p i ˈ ɡ a s t r u
epigenetic,e p i d ʒ e ˈ n e t i k
epigeneză,e p i d ʒ e ˈ n e z ə
epiglotă,e p i ˈ ɡ l o t ə
epigon,e p i ˈ ɡ o n
epigonic,e p i ˈ ɡ o n i k
epigonism,e p i ɡ o ˈ n i s m
epigraf,e p i ˈ ɡ r a f
epigrafie,e p i ɡ r a ˈ f i e
epigrafist,e p i ɡ r a ˈ f i s t
epigrafistă,e p i ɡ r a ˈ f i s t ə
epigramatic,e p i ɡ r a ˈ m a t i k
epigramist,e p i ɡ r a ˈ m i s t
epigramistă,e p i ɡ r a ˈ m i s t ə
epigramă,e p i ˈ ɡ r a m ə
epila,e p i ˈ l a
epilare,e p i ˈ l a r e
epilator,e p i l a ˈ t o r
epilație,e p i ˈ l a t͡s i e
epileptic,e p i ˈ l e p t i k
epileptică,e p i ˈ l e p t i k ə
epilog,e p i ˈ l o ɡ
epiloga,e p i l o ˈ ɡ a
epilogal,e p i l o ˈ ɡ a l
epimonă,e p i ˈ m o n ə
epinefrină,e p i n e ˈ f r i n ə
epiplocă,e p i ˈ p l o k ə
epiplon,e p i ˈ p l o n
epirogenetic,e p i r o d ʒ e ˈ n e t i k
epirogeneză,e p i r o d ʒ e ˈ n e z ə
epirogenic,e p i r o ˈ d ʒ e n i k
episcopal,e p i s k o ˈ p a l
episcopat,e p i s k o ˈ p a t
episcopie,e p i s k o ˈ p i e
episilogism,e p i s i l o ˈ d ʒ i s m
episod,e p i ˈ s o d
episodic,e p i ˈ s o d i k
epistat,e p i s ˈ t a t
epistemologic,e p i s t e m o ˈ l o d ʒ i k
epistemologie,e p i s t e m o l o ˈ d ʒ i e
epistil,e p i s ˈ t i l
epistolar,e p i s t o ˈ l a r
epistolie,e p i s t o ˈ l i e
epistolă,e ˈ p i s t o l ə
epistrofă,e p i s ˈ t r o f ə
epitaf,e p i ˈ t a f
epitalam,e p i t a ˈ l a m
epitelial,e p i t e l i ˈ a l
epitelizare,e p i t e l i ˈ z a r e
epitermal,e p i t e r ˈ m a l
epitet,e p i ˈ t e t
epitetic,e p i ˈ t e t i k
epitrahil,e p i t r a ˈ h i l
epitrop,e p i ˈ t r o p
epitropie,e p i t r o ˈ p i e
epizod,e p i ˈ z o d
epizonă,e p i ˈ z o n ə
epizootic,e p i z o ˈ o t i k
epizootie,e p i z o o ˈ t i e
epocal,e p o ˈ k a l
epocă,ˈ e p o k ə
epodă,e ˈ p o d ə
epohă,ˈ e p o h ə
epolet,e p o ˈ l e t
eponim,e p o ˈ n i m
eponj,e ˈ p o n ʒ
epos,e ˈ p o s
eprubetă,e p r u ˈ b e t ə
epruvetă,e p r u ˈ v e t ə
epsilon,e p s i ˈ l o n
epuizabil,e p u i ˈ z a b i l
epuizat,e p u i ˈ z a t
epura,e p u ˈ r a
epurare,e p u ˈ r a r e
epurativ,e p u r a ˈ t i v
epurator,e p u r a ˈ t o r
epurație,e p u ˈ r a t͡s i e
epură,e ˈ p u r ə
eră,ˈ e r ə
era,e ˈ r a
era,ˈ e r a
eradica,e r a d i ˈ k a
eradicare,e r a d i ˈ k a r e
eradicate,e r a d i ˈ k a t e
erai,e ˈ r a j
eram,e ˈ r a m
eratic,e ˈ r a t i k
erată,e ˈ r a t ə
erau,e ˈ r a w
erați,e ˈ r a t͡s ʲ
erbacee,e r b a ˈ t͡ʃ e j e
erbicid,e r b i ˈ t͡ʃ i d
erbicida,e r b i t͡ʃ i ˈ d a
erbicidare,e r b i t͡ʃ i ˈ d a r e
erbicidat,e r b i t͡ʃ i ˈ d a t
erbicide,e r b i ˈ t͡ʃ i d e
erbiu,ˈ e r b j u
erbivor,e r b i ˈ v o r
erboriza,e r b o r i ˈ z a
erborizare,e r b o r i ˈ z a r e
erect,e ˈ r e k t
erectil,e r e k ˈ t i l
erector,e r e k ˈ t o r
erecție,e ˈ r e k t͡s i e
erecții,e ˈ r e k t͡s iː
erede,e ˈ r e d e
ereditar,e r e d i ˈ t a r
ereditate,e r e d i ˈ t a t e
eredobiologie,e r e d o b i o l o ˈ d ʒ i e
eredopatie,e r e d o p a ˈ t i e
eredosifilis,e r e d o ˈ s i f i l i s
eremit,e r e ˈ m i t
eremitic,e r e ˈ m i t i k
erepsină,e r e p ˈ s i n ə
eres,e ˈ r e s
erete,e ˈ r e t e
eretescu,e r e ˈ t e s k u
eretic,e ˈ r e t i k
eretică,e ˈ r e t i k ə
eretism,e r e ˈ t i s m
erevan,e r e ˈ v a n
erezie,e r e ˈ z i e
erg,e r ɡ
ergan,e r ˈ ɡ a n
ergasterie,e r ɡ a s t e ˈ r i e
ergastoplasmă,e r ɡ a s t o ˈ p l a s m ə
ergocalciferol,e r ɡ o k a l t͡ʃ i f e ˈ r o l
ergograf,e r ɡ o ˈ ɡ r a f
ergometrie,e r ɡ o m e ˈ t r i e
ergometru,e r ɡ o ˈ m e t r u
ergonomie,e r ɡ o n o ˈ m i e
ergonomist,e r ɡ o n o ˈ m i s t
ergonomistă,e r ɡ o n o ˈ m i s t ə
ergonă,e r ˈ ɡ o n ə
ergosterină,e r ɡ o s t e ˈ r i n ə
ergosterol,e r ɡ o s t e ˈ r o l
ergotamină,e r ɡ o t a ˈ m i n ə
ergoterapie,e r ɡ o t e r a ˈ p i e
ergotină,e r ɡ o ˈ t i n ə
ergotism,e r ɡ o ˈ t i s m
erhă,ˈ e r h ə
erija,e r i ˈ ʒ a
erijare,e r i ˈ ʒ a r e
erijat,e r i ˈ ʒ a t
eristic,e ˈ r i s t i k
eristică,e ˈ r i s t i k ə
eritem,e r i ˈ t e m
eritematoasă,e r i t e m a ˈ t o̯ a s ə
eritematos,e r i t e m a ˈ t o s
eritrină,e r i ˈ t r i n ə
eritroblast,e r i t r o ˈ b l a s t
eritroblastoză,e r i t r o b l a s ˈ t o z ə
eritrocit,e r i t r o ˈ t͡ʃ i t
eritrocitoză,e r i t r o t͡ʃ i ˈ t o z ə
eritrofobie,e r i t r o f o ˈ b i e
eritromicină,e r i t r o m i ˈ t͡ʃ i n ə
eritropsină,e r i t r o p ˈ s i n ə
erizipel,e r i z i ˈ p e l
ermeneutic,e r m e n e ˈ u t i k
ermeneutică,e r m e n e ˈ u t i k ə
ermetic,e r ˈ m e t i k
ermetism,e r m e ˈ t i s m
ermetiza,e r m e t i ˈ z a
ermit,e r ˈ m i t
ermitaj,e r m i ˈ t a ʒ
eroare,e ˈ r o̯ a r e
eroda,e r o ˈ d a
erodare,e r o ˈ d a r e
eroi,e ˈ r o j
eroicește,e r o i ˈ t͡ʃ e ʃ t e
eroism,e r o ˈ i s m
eronat,e r o ˈ n a t
erotic,e ˈ r o t i k
erotica,e ˈ r o t i k a
eroticii,e ˈ r o t i t͡ʃ iː
erotică,e ˈ r o t i k ə
erotism,e r o ˈ t i s m
erotoman,e r o t o ˈ m a n
eroziv,e r o ˈ z i v
erpetolog,e r p e t o ˈ l o ɡ
erpetologe,e r p e t o ˈ l o d ʒ e
erpetologi,e r p e t o ˈ l o d ʒ ʲ
erpetologic,e r p e t o ˈ l o d ʒ i k
erpetologie,e r p e t o l o ˈ d ʒ i e
erpetologă,e r p e t o ˈ l o ɡ ə
eructa,e r u k ˈ t a
eructație,e r u k ˈ t a t͡s i e
erudit,e r u ˈ d i t
erudiție,e r u ˈ d i t͡s i e
erupe,e ˈ r u p e
erupere,e ˈ r u p e r e
eruptiv,e r u p ˈ t i v
eruptivism,e r u p t i ˈ v i s m
erupție,e ˈ r u p t͡s i e
erzaț,e r ˈ z a t͡s
esaveraj,e s a v e ˈ r a ʒ
escadrilă,e s k a ˈ d r i l ə
escadron,e s k a ˈ d r o n
escadră,e s ˈ k a d r ə
escalada,e s k a l a ˈ d a
escaladare,e s k a l a ˈ d a r e
escaladă,e s k a ˈ l a d ə
escalator,e s k a l a ˈ t o r
escalop,e s k a ˈ l o p
escală,e s ˈ k a l ə
escamota,e s k a m o ˈ t a
escamotabil,e s k a m o ˈ t a b i l
escamotare,e s k a m o ˈ t a r e
escapadă,e s k a ˈ p a d ə
escarpen,e s k a r ˈ p e n
escarpă,e s ˈ k a r p ə
escară,e s ˈ k a r ə
escatologia,e s k a t o l o ˈ d ʒ i a
escatologic,e s k a t o ˈ l o d ʒ i k
escatologie,e s k a t o l o ˈ d ʒ i e
escavator,e s k a v a ˈ t o r
eschilă,e s ˈ k i l ə
eschimos,e s k i ˈ m o s
eschimosă,e s k i ˈ m o s ə
eschiva,e s k i ˈ v a
eschivare,e s k i ˈ v a r e
eschivă,e s ˈ k i v ə
escorta,e s k o r ˈ t a
escortare,e s k o r ˈ t a r e
escortor,e s k o r ˈ t o r
escortă,e s ˈ k o r t ə
escroacă,e s ˈ k r o̯ a k ə
escroc,e s ˈ k r o k
escroca,e s k r o ˈ k a
escrocare,e s k r o ˈ k a r e
escrocherie,e s k r o k e ˈ r i e
escroci,e s ˈ k r o t͡ʃ ʲ
esculap,e s k u ˈ l a p
esculină,e s k u ˈ l i n ə
eseist,e s e ˈ i s t
eseistic,e s e ˈ i s t i k
eseistică,e s e ˈ i s t i k ə
eseistă,e s e ˈ i s t ə
esențial,e s e n t͡s i ˈ a l
esențialitate,e s e n t͡s i a l i ˈ t a t e
esență,e ˈ s e n t͡s ə
esofag,e s o ˈ f a ɡ
esofagian,e s o f a d ʒ i ˈ a n
esofagism,e s o f a ˈ d ʒ i s m
esopic,e ˈ s o p i k
espadon,e s p a ˈ d o n
espadrilă,e s p a ˈ d r i l ə
esperantism,e s p e r a n ˈ t i s m
esperantist,e s p e r a n ˈ t i s t
esperantistă,e s p e r a n ˈ t i s t ə
esplanadă,e s p l a ˈ n a d ə
est,e s t
estacadă,e s t a ˈ k a d ə
este,ˈ e s t e
este,ˈ j e s t e
ester,e s ˈ t e r
estera,e s ˈ t e r a
esterifica,e s t e r i f i ˈ k a
esterificare,e s t e r i f i ˈ k a r e
estet,e s ˈ t e t
estetic,e s ˈ t e t i k
estetician,e s t e t i t͡ʃ i ˈ a n
esteticiană,e s t e t i t͡ʃ i ˈ a n ə
esteticiene,e s t e t i t͡ʃ i ˈ e n e
esteticieni,e s t e t i t͡ʃ i ˈ e n ʲ
estetică,e s ˈ t e t i k ə
estetism,e s t e ˈ t i s m
estetizant,e s t e t i ˈ z a n t
estetizantă,e s t e t i ˈ z a n t ə
estetă,e s ˈ t e t ə
esteziologie,e s t e z i o l o ˈ d ʒ i e
estic,ˈ e s t i k
estima,e s t i ˈ m a
estimabil,e s t i ˈ m a b i l
estimare,e s t i ˈ m a r e
estimat,e s t i ˈ m a t
estimativ,e s t i m a ˈ t i v
estimație,e s t i ˈ m a t͡s i e
estimp,e s ˈ t i m p
estimă,e s ˈ t i m ə
estiv,e s ˈ t i v
estival,e s t i ˈ v a l
estivație,e s t i ˈ v a t͡s i e
estompa,e s t o m ˈ p a
estompare,e s t o m ˈ p a r e
estompat,e s t o m ˈ p a t
estompă,e s ˈ t o m p ə
eston,e s ˈ t o n
estonia,e s ˈ t o n i a
estonian,e s t o n i ˈ a n
estoniană,e s t o n i ˈ a n ə
estonieni,e s t o n i ˈ e n ʲ
estonă,e s ˈ t o n ə
estorca,e s t o r ˈ k a
estorcare,e s t o r ˈ k a r e
estradiol,e s t r a d i ˈ o l
estradistic,e s t r a ˈ d i s t i k
estradă,e s ˈ t r a d ə
estral,e s ˈ t r a l
estrogen,e s t r o ˈ d ʒ e n
estronă,e s ˈ t r o n ə
estropia,e s t r o p i ˈ a
estropiat,e s t r o p i ˈ a t
estropiație,e s t r o p i ˈ a t͡s i e
estru,ˈ e s t r u
etaj,e ˈ t a ʒ
etaja,e t a ˈ ʒ a
etajare,e t a ˈ ʒ a r e
etajat,e t a ˈ ʒ a t
etajeră,e t a ˈ ʒ e r ə
etala,e t a ˈ l a
etalaj,e t a ˈ l a ʒ
etalare,e t a ˈ l a r e
etalon,e t a ˈ l o n
etalona,e t a l o ˈ n a
etalonare,e t a l o ˈ n a r e
etalonat,e t a l o ˈ n a t
etalonor,e t a l o ˈ n o r
etamină,e t a ˈ m i n ə
etan,e ˈ t a n
etanol,e t a ˈ n o l
etanș,e ˈ t a n ʃ
etanșa,e t a n ˈ ʃ a
etanșare,e t a n ˈ ʃ a r e
etanșor,e t a n ˈ ʃ o r
etapiza,e t a p i ˈ z a
etapizare,e t a p i ˈ z a r e
etapizat,e t a p i ˈ z a t
etapă,e ˈ t a p ə
etate,e ˈ t a t e
etatism,e t a ˈ t i s m
etatiza,e t a t i ˈ z a
etatizare,e t a t i ˈ z a r e
etatizat,e t a t i ˈ z a t
etcetera,e t ˈ t͡ʃ e t e r a
etenă,e ˈ t e n ə
eter,e ˈ t e r
eterat,e t e ˈ r a t
eteric,e ˈ t e r i k
eterie,e t e ˈ r i e
eterist,e t e ˈ r i s t
eteriza,e t e r i ˈ z a
etern,e ˈ t e r n
eternit,e t e r ˈ n i t
eternitate,e t e r n i ˈ t a t e
eterniza,e t e r n i ˈ z a
eternizare,e t e r n i ˈ z a r e
eternizat,e t e r n i ˈ z a t
eteroclit,e t e r o ˈ k l i t
eterodină,e t e r o ˈ d i n ə
eterodox,e t e r o ˈ d o k s
eterofon,e t e r o ˈ f o n
eterogen,e t e r o ˈ d ʒ e n
eterogenitate,e t e r o d ʒ e n i ˈ t a t e
eterogrefă,e t e r o ˈ ɡ r e f ə
eteroman,e t e r o ˈ m a n
eteromană,e t e r o ˈ m a n ə
eteromorf,e t e r o ˈ m o r f
eteronim,e t e r o ˈ n i m
eteronom,e t e r o ˈ n o m
eteronomie,e t e r o n o ˈ m i e
eterosferă,e t e r o s ˈ f e r ə
eterosugestie,e t e r o s u ˈ d ʒ e s t i e
etiaj,e t i ˈ a ʒ
etic,ˈ e t i k
eticheta,e t i k e ˈ t a
etichetare,e t i k e ˈ t a r e
etichetat,e t i k e ˈ t a t
etichetă,e t i ˈ k e t ə
etician,e t i t͡ʃ i ˈ a n
eticiană,e t i t͡ʃ i ˈ a n ə
etică,ˈ e t i k ə
etil,e ˈ t i l
etila,e t i ˈ l a
etilare,e t i ˈ l a r e
etilenglicol,e t i l e n ˈ ɡ l i k o l
etilenă,e t i ˈ l e n ə
etilic,e t i ˈ l i k
etilism,e t i ˈ l i s m
etimolog,e t i m o ˈ l o ɡ
etimologia,e t i m o l o ˈ d ʒ i a
etimologic,e t i m o ˈ l o d ʒ i k
etimologie,e t i m o l o ˈ d ʒ i e
etimologism,e t i m o l o ˈ d ʒ i s m
etimologist,e t i m o l o ˈ d ʒ i s t
etimologistă,e t i m o l o ˈ d ʒ i s t ə
etimologă,e t i m o ˈ l o ɡ ə
etimon,e t i ˈ m o n
etiologic,e t i o ˈ l o d ʒ i k
etiologie,e t i o l o ˈ d ʒ i e
etira,e t i ˈ r a
etirare,e t i ˈ r a r e
etirat,e t i ˈ r a t
etnarh,e t ˈ n a r h
etnic,ˈ e t n i k
etnicism,e t n i ˈ t͡ʃ i s m
etnicitate,e t n i t͡ʃ i ˈ t a t e
etnobotanic,e t n o b o ˈ t a n i k
etnobotanică,e t n o b o ˈ t a n i k ə
etnocentrism,e t n o t͡ʃ e n ˈ t r i s m
etnocultural,e t n o k u l t u ˈ r a l
etnocultură,e t n o k u l ˈ t u r ə
etnofolcloric,e t n o f o l ˈ k l o r i k
etnogeneză,e t n o d ʒ e ˈ n e z ə
etnograf,e t n o ˈ ɡ r a f
etnografic,e t n o ˈ ɡ r a f i k
etnografie,e t n o ɡ r a ˈ f i e
etnografă,e t n o ˈ ɡ r a f ə
etnolingvistică,e t n o l i n ɡ ˈ v i s t i k ə
etnolog,e t n o ˈ l o ɡ
etnologa,e t n o ˈ l o ɡ a
etnologe,e t n o ˈ l o d ʒ e
etnologi,e t n o ˈ l o d ʒ ʲ
etnologic,e t n o ˈ l o d ʒ i k
etnologie,e t n o l o ˈ d ʒ i e
etnologii,e t n o ˈ l o d ʒ iː
etnologă,e t n o ˈ l o ɡ ə
etnomuzicolog,e t n o m u z i k o ˈ l o ɡ
etnomuzicologie,e t n o m u z i k o l o ˈ d ʒ i e
etnomuzicologă,e t n o m u z i k o ˈ l o ɡ ə
etnonim,e t n o ˈ n i m
etnopedagogic,e t n o p e d a ˈ ɡ o d ʒ i k
etnopedagogie,e t n o p e d a ɡ o ˈ d ʒ i e
etnopsihologie,e t n o p s i h o l o ˈ d ʒ i e
etnosociologie,e t n o s o t͡ʃ i o l o ˈ d ʒ i e
etocrație,e t o k r a ˈ t͡s i e
etolog,e t o ˈ l o ɡ
etologie,e t o l o ˈ d ʒ i e
etolă,e ˈ t o l ə
etos,e ˈ t o s
etravă,e ˈ t r a v ə
etrier,e t r i ˈ e r
etrusc,e ˈ t r u s k
etruscolog,e t r u s k o ˈ l o ɡ
etruscologie,e t r u s k o l o ˈ d ʒ i e
etruscă,e ˈ t r u s k ə
etufa,e t u ˈ f a
etufare,e t u ˈ f a r e
etuvă,e ˈ t u v ə
eu,j e w
eucalipt,e u k a ˈ l i p t
eudemonism,e u d e m o ˈ n i s m
eudemonist,e u d e m o ˈ n i s t
eudist,e u ˈ d i s t
eufemism,e u f e ˈ m i s m
eufemistic,e u f e ˈ m i s t i k
euforbia,e u ˈ f o r b i a
euforia,e u f o ˈ r i a
euforic,e u ˈ f o r i k
euforii,e u f o ˈ r iː
eufuism,e u f u ˈ i s m
eufuistic,e u f u ˈ i s t i k
eugenetică,e u d ʒ e ˈ n e t i k ə
eugenie,e u d ʒ e ˈ n i e
euharistic,e u h a ˈ r i s t i k
euhemerism,e u h e m e ˈ r i s m
eupeptic,e u ˈ p e p t i k
euri,ˈ j e u r ʲ
euribară,e u r i ˈ b a r ə
euristic,e u ˈ r i s t i k
euristică,e u ˈ r i s t i k ə
euritmie,e u r i t ˈ m i j e
europa,e u ˈ r o p a
europenesc,e w r o p e ˈ n e s k
europenește,e u r o p e ˈ n e ʃ t e
europeni,e w r o ˈ p e n ʲ
europiu,e u ˈ r o p j u
eustil,e u ˈ s t i l
eutectic,e u ˈ t e k t i k
ev,e v
evacuabil,e v a k u ˈ a b i l
evacuare,e v a k u ˈ a r e
evacuat,e v a ˈ k w a t
evacuări,e v a k u ˈ ə r ʲ
evada,e v a ˈ d a
evadare,e v a ˈ d a r e
evadat,e v a ˈ d a t
evalua,e v a l u ˈ a
evaluabil,e v a l u ˈ a b i l
evaluare,e v a l u ˈ a r e
evanescent,e v a n e s ˈ t͡ʃ e n t
evanescență,e v a n e s ˈ t͡ʃ e n t͡s ə
evangheliar,e v a n ɡ e l i ˈ a r
evanghelic,e v a n ˈ ɡ e l i k
evanghelie,e v a n ˈ ɡ e l i j e
evanghelist,e v a n ɡ e ˈ l i s t
evangheliza,e v a n ɡ e l i ˈ z a
evapora,e v a p o ˈ r a
evaporabil,e v a p o ˈ r a b i l
evaporare,e v a p o ˈ r a r e
evaporatoare,e v a p o r a ˈ t o̯ a r e
evaporator,e v a p o r a ˈ t o r
evaporație,e v a p o ˈ r a t͡s i e
evaporimetru,e v a p o r i ˈ m e t r u
evaza,e v a ˈ z a
evazare,e v a ˈ z a r e
evazat,e v a ˈ z a t
evazionist,e v a z i o ˈ n i s t
evaziv,e v a ˈ z i v
eveniment,e v e n i ˈ m e n t
evenimențial,e v e n i m e n t͡s i ˈ a l
eventrație,e v e n ˈ t r a t͡s i e
evghenicos,e v ɡ e n i ˈ k o s
evhemerism,e v h e m e ˈ r i s m
evident,e v i ˈ d e n t
evidenția,e v i d e n t͡s i ˈ a
evidențiat,e v i d e n t͡s i ˈ a t
evidență,e v i ˈ d e n t͡s ə
evinge,e ˈ v i n d ʒ e
evirație,e v i ˈ r a t͡s i e
eviscera,e v i s t͡ʃ e ˈ r a
eviscerare,e v i s t͡ʃ e ˈ r a r e
evita,e v i ˈ t a
evitabil,e v i ˈ t a b i l
evitabilitate,e v i t a b i l i ˈ t a t e
evitare,e v i ˈ t a r e
evlavia,e v ˈ l a v i a
evlaviei,e v ˈ l a v i e j
evlavii,e v ˈ l a v iː
evlavios,e v l a v i ˈ o s
evoca,e v o ˈ k a
evocabil,e v o ˈ k a b i l
evocare,e v o ˈ k a r e
evocativ,e v o k a ˈ t i v
evocator,e v o k a ˈ t o r
evocație,e v o ˈ k a t͡s i e
evolua,e v o l u ˈ a
evoluare,e v o l u ˈ a r e
evolutiv,e v o l u ˈ t i v
evolută,e v o ˈ l u t ə
evoluție,e v o ˈ l u t͡s i e
evoluționism,e v o l u t͡s i o ˈ n i s m
evoluționist,e v o l u t͡s i o ˈ n i s t
evreiesc,e v r e ˈ j e s k
evreiește,e v r e ˈ j e ʃ t e
evrica,ˈ e v r i k a
exagerat,e k s a d ʒ e ˈ r a t
examene,e ɡ ˈ z a m e n e
excava,e k s k a ˈ v a
excavai,e k s k a ˈ v a j
excavam,e k s k a ˈ v a m
excavare,e k s k a ˈ v a r e
excavară,e k s k a ˈ v a r ə
excavarăm,e k s k a ˈ v a r ə m
excavarăți,e k s k a ˈ v a r ə t͡s ʲ
excavase,e k s k a ˈ v a s e
excavasem,e k s k a ˈ v a s e m
excavaseră,e k s k a ˈ v a s e r ə
excavaserăm,e k s k a ˈ v a s e r ə m
excavaserăți,e k s k a ˈ v a s e r ə t͡s ʲ
excavaseși,e k s k a ˈ v a s e ʃ ʲ
excavat,e k s k a ˈ v a t
excavator,e k s k a v a ˈ t o r
excavatorist,e k s k a v a t o ˈ r i s t
excavatoristă,e k s k a v a t o ˈ r i s t ə
excavau,e k s k a ˈ v a w
excavași,e k s k a ˈ v a ʃ ʲ
excavați,e k s k a ˈ v a t͡s ʲ
excavație,e k s k a ˈ v a t͡s i e
excavațiune,e k s k a v a t͡s i ˈ u n e
excavează,e k s k a ˈ v e̯ a z ə
excavez,e k s k a ˈ v e z
excaveze,e k s k a ˈ v e z e
excavezi,e k s k a ˈ v e z ʲ
excavând,e k s k a ˈ v ɨ n d
excavă,e k s k a ˈ v ə
excavăm,e k s k a ˈ v ə m
exceda,e k s t͡ʃ e ˈ d a
excedent,e k s t͡ʃ e ˈ d e n t
excedentar,e k s t͡ʃ e d e n ˈ t a r
excela,e k s t͡ʃ e ˈ l a
excelent,e k s t͡ʃ e ˈ l e n t
excelență,e k s t͡ʃ e ˈ l e n t͡s ə
excentric,e k s ˈ t͡ʃ e n t r i k
excentricitate,e k s t͡ʃ e n t r i t͡ʃ i ˈ t a t e
excepta,e k s t͡ʃ e p ˈ t a
exceptare,e k s t͡ʃ e p ˈ t a r e
excepție,e k s ˈ t͡ʃ e p t͡s i e
excepțional,e k s t͡ʃ e p t͡s i o ˈ n a l
excerpta,e k s t͡ʃ e r p ˈ t a
excerptare,e k s t͡ʃ e r p ˈ t a r e
excerpte,e k s ˈ t͡ʃ e r p t e
exces,e k s ˈ t͡ʃ e s
excesiv,e k s t͡ʃ e ˈ s i v
excipient,e k s t͡ʃ i p i ˈ e n t
excita,e k s t͡ʃ i ˈ t a
excitabil,e k s t͡ʃ i ˈ t a b i l
excitabilitate,e k s t͡ʃ i t a b i l i ˈ t a t e
excitant,e k s t͡ʃ i ˈ t a n t
excitare,e k s t͡ʃ i ˈ t a r e
excitat,e k s t͡ʃ i ˈ t a t
excitatoare,e k s t͡ʃ i t a ˈ t o̯ a r e
excitator,e k s t͡ʃ i t a ˈ t o r
excitație,e k s t͡ʃ i ˈ t a t͡s i e
excitron,e k s t͡ʃ i ˈ t r o n
exciza,e k s t͡ʃ i ˈ z a
excizare,e k s t͡ʃ i ˈ z a r e
excizie,e k s ˈ t͡ʃ i z i e
exclama,e k s k l a ˈ m a
exclamare,e k s k l a ˈ m a r e
exclamativ,e k s k l a m a ˈ t i v
exclamație,e k s k l a ˈ m a t͡s i e
exclude,e k s ˈ k l u d e
excludere,e k s ˈ k l u d e r e
exclus,e k s ˈ k l u s
exclusiv,e k s k l u ˈ s i v
exclusivism,e k s k l u s i ˈ v i s m
exclusivist,e k s k l u s i ˈ v i s t
exclusivitate,e k s k l u s i v i ˈ t a t e
excluziune,e k s k l u z i ˈ u n e
excogitație,e k s k o d ʒ i ˈ t a t͡s i e
excomunica,e k s k o m u n i ˈ k a
excomunicare,e k s k o m u n i ˈ k a r e
excoria,e k s k o r i ˈ a
excoriație,e k s k o r i ˈ a t͡s i e
excoriere,e k s k o r i ˈ e r e
excorporație,e k s k o r p o ˈ r a t͡s i e
excrement,e k s k r e ˈ m e n t
excrescență,e k s k r e s ˈ t͡ʃ e n t͡s ə
excreta,e k s k r e ˈ t a
excretor,e k s k r e ˈ t o r
excreție,e k s ˈ k r e t͡s i e
excurs,e k s ˈ k u r s
excursie,e k s ˈ k u r s i e
excursionist,e k s k u r s i o ˈ n i s t
excursionistă,e k s k u r s i o ˈ n i s t ə
excursiune,e k s k u r s i ˈ u n e
executabil,e ɡ z e k u ˈ t a b i l
executat,e ɡ z e k u ˈ t a t
exemple,e ɡ ˈ z e m p l e
exfolia,e k s f o l i ˈ a
exfoliație,e k s f o l i ˈ a t͡s i e
exfoliere,e k s f o l i ˈ e r e
exhaustiv,e k s h a u s ˈ t i v
exhaustivitate,e k s h a u s t i v i ˈ t a t e
exhaustor,e k s h a u s ˈ t o r
exhiba,e k s h i ˈ b a
exhibitoriu,e k s h i b i ˈ t o r j u
exhibiție,e k s h i ˈ b i t͡s i e
exhibiționism,e k s h i b i t͡s i o ˈ n i s m
exhibiționist,e k s h i b i t͡s i o ˈ n i s t
exhibiționistă,e k s h i b i t͡s i o ˈ n i s t ə
exhibițiune,e k s h i b i t͡s i ˈ u n e
exhuma,e k s h u ˈ m a
exhumare,e k s h u ˈ m a r e
exist,e ɡ ˈ z i s t
exista,e ɡ z i s ˈ t a
există,e ɡ z i s ˈ t ə
există,e ɡ ˈ z i s t ə
exmatricula,e k s m a t r i k u ˈ l a
exmatriculare,e k s m a t r i k u ˈ l a r e
exodul,e k ˈ s o d u l
expandat,e k s p a n ˈ d a t
expansibil,e k s p a n ˈ s i b i l
expansibilitate,e k s p a n s i b i l i ˈ t a t e
expansionism,e k s p a n s i o ˈ n i s m
expansionist,e k s p a n s i o ˈ n i s t
expansiune,e k s p a n s i ˈ u n e
expansiv,e k s p a n ˈ s i v
expansivitate,e k s p a n s i v i ˈ t a t e
expatria,e k s p a t r i ˈ a
expatriat,e k s p a t r i ˈ a t
expatriere,e k s p a t r i ˈ e r e
expectativă,e k s p e k t a ˈ t i v ə
expectație,e k s p e k ˈ t a t͡s i e
expectora,e k s p e k t o ˈ r a
expectorant,e k s p e k t o ˈ r a n t
expectorare,e k s p e k t o ˈ r a r e
expectorație,e k s p e k t o ˈ r a t͡s i e
expedia,e k s p e ˈ d j a
expedient,e k s p e d i ˈ e n t
expediere,e k s p e d i ˈ e r e
expeditiv,e k s p e d i ˈ t i v
expeditoare,e k s p e d i ˈ t o̯ a r e
expeditor,e k s p e d i ˈ t o r
expediție,e k s p e ˈ d i t͡s i e
expediționar,e k s p e d i t͡s i o ˈ n a r
experiență,e k s p e r i ˈ e n t͡s ə
experiment,e k s p e r i ˈ m e n t
experimenta,e k s p e r i m e n ˈ t a
